name,model_type,checkpoint,status,learning_rate,dropout,test_slot_f1,test_slot_f1_std,test_intent_acc,test_intent_acc_std,dev_slot_f1,dev_intent_acc,notes,timestamp
GPT2 fine-tune lr=2e-5,gpt2,openai-community/gpt2,done,2e-05,0.1,0.8729806338400712,0.0029877348985454617,0.9704367301231803,0.0021943917068606364,0.9201934727340475,0.9911646586345381,,2026-06-27 17:49:06
BERT fine-tune lr=2e-5,bert,bert-base-uncased,done,2e-05,0.1,0.9459975915344374,0.0009782786031236725,0.9764837625979844,0.001873818648452578,0.9731001816331497,0.9911646586345382,,2026-06-27 18:09:35
BERT fine-tune lr=2e-5 warmup_scheduler,bert,bert-base-uncased,done,2e-05,0.1,0.9076644217810038,0.0023707186633109612,0.9735722284434492,0.002513991525268067,0.9346966671520368,0.9931726907630521,,2026-06-27 18:32:24
